Name,Time,Value,i
AC312teas,January 2004:,0
AC312teas,February 2004:,0
AC312teas,March 2004:,0
AC312teas,April 2004:,0
AC312teas,May 2004:,0
AC312teas,June 2004:,0
AC312teas,July 2004:,0
AC312teas,August 2004:,0
AC312teas,September 2004:,0
AC312teas,October 2004:,0
AC312teas,November 2004:,0
AC312teas,December 2004:,0
AC312teas,January 2005:,0
AC312teas,February 2005:,0
AC312teas,March 2005:,0
AC312teas,April 2005:,0
AC312teas,May 2005:,0
AC312teas,June 2005:,0
AC312teas,July 2005:,0
AC312teas,August 2005:,0
AC312teas,September 2005:,0
AC312teas,October 2005:,0
AC312teas,November 2005:,0
AC312teas,December 2005:,0
AC312teas,January 2006:,0
AC312teas,February 2006:,0
AC312teas,March 2006:,0
AC312teas,April 2006:,0
AC312teas,May 2006:,0
AC312teas,June 2006:,0
AC312teas,July 2006:,0
AC312teas,August 2006:,0
AC312teas,September 2006:,0
AC312teas,October 2006:,0
AC312teas,November 2006:,0
AC312teas,December 2006:,0
AC312teas,January 2007:,0
AC312teas,February 2007:,0
AC312teas,March 2007:,0
AC312teas,April 2007:,0
AC312teas,May 2007:,0
AC312teas,June 2007:,0
AC312teas,July 2007:,0
AC312teas,August 2007:,0
AC312teas,September 2007:,0
AC312teas,October 2007:,0
AC312teas,November 2007:,0
AC312teas,December 2007:,0
AC312teas,January 2008:,0
AC312teas,February 2008:,0
AC312teas,March 2008:,0
AC312teas,April 2008:,0
AC312teas,May 2008:,0
AC312teas,June 2008:,0
AC312teas,July 2008:,0
AC312teas,August 2008:,0
AC312teas,September 2008:,0
AC312teas,October 2008:,0
AC312teas,November 2008:,0
AC312teas,December 2008:,0
AC312teas,January 2009:,0
AC312teas,February 2009:,0
AC312teas,March 2009:,0
AC312teas,April 2009:,0
AC312teas,May 2009:,0
AC312teas,June 2009:,0
AC312teas,July 2009:,0
AC312teas,August 2009:,0
AC312teas,September 2009:,0
AC312teas,October 2009:,0
AC312teas,November 2009:,0
AC312teas,December 2009:,0
AC312teas,January 2010:,0
AC312teas,February 2010:,0
AC312teas,March 2010:,0
AC312teas,April 2010:,0
AC312teas,May 2010:,0
AC312teas,June 2010:,0
AC312teas,July 2010:,0
AC312teas,August 2010:,0
AC312teas,September 2010:,0
AC312teas,October 2010:,0
AC312teas,November 2010:,0
AC312teas,December 2010:,0
AC312teas,January 2011:,0
AC312teas,February 2011:,0
AC312teas,March 2011:,0
AC312teas,April 2011:,0
AC312teas,May 2011:,0
AC312teas,June 2011:,0
AC312teas,July 2011:,0
AC312teas,August 2011:,0
AC312teas,September 2011:,0
AC312teas,October 2011:,0
AC312teas,November 2011:,0
AC312teas,December 2011:,0
AC312teas,January 2012:,0
AC312teas,February 2012:,0
AC312teas,March 2012:,0
AC312teas,April 2012:,0
AC312teas,May 2012:,0
AC312teas,June 2012:,0
AC312teas,July 2012:,0
AC312teas,August 2012:,0
AC312teas,September 2012:,0
